,CDCID,GenusName,InitialExposure,LastExposure,TotalCases,Exposurestate,ExposureState,ExposureCounty1,ExposureCounty2,ExposureCounty3,ExposureCounty4,ExposureCounty5,ExposureCounty6,ExposureCounty7,ExposureCounty8,ExposureCounty9,ExposureCounty10,ExposureCounty11,TEMP,MAX,MIN,DEWP,SLP,STP,WDSP,MXSPD,PRCP,SNDP,Fog,Rain or Drizzle,Snow or Ice Pellets,Hail,Thunder,Tornado or Funnel Cloud,Median age,Immigrants,Households Median Income,%Food preparation,"%Farming, fishing, and forestry",Population Density,RH,SLP-STP,MSXPD-WDSP
1050,267572,Norovirus,2016/1/27,2016/2/14,16,KS,Kansas,Wyandotte,,,,,,,,,,,36.16736842,48.47315789,27.36421053,22.68789474,1018.400526,985.5936842,8.774210526,15.63315789,0.025789474,0.0,0.0,0.052631579,0.157894737,0.0,0.0,0.0,33.57205479,10943.53973,40805.14521,6.175690561,0.269565265,1069.422525,57.64762934557436,32.80684180000003,6.8589473640000005
1051,267573,Norovirus,2016/1/29,2016/1/29,10,KS,Kansas,Sedgwick,,,,,,,,,,,47.16666667,71.13333333,30.96666667,30.26666667,1010.5,960.5666667,8.433333333,22.36666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.87945205,21377.46027,51257.43014,5.503388375,0.140825627,510.7507227,51.60905522977923,49.93333329999996,13.933333337
1052,267608,Norovirus,2016/1/14,2016/1/16,20,CO,Colorado,El Paso,,,,,,,,,,,29.65,41.83333333,18.10555556,7.727777778,1009.32,797.0916667,7.255555556,16.11666667,0.003611111,0.066666667,0.0,0.0,0.277777778,0.0,0.0,0.0,33.88438356,65726.45753,60301.25753,6.116631736,0.139368455,313.4175222,38.93569648106489,212.22833330000003,8.861111114
1053,267628,Norovirus,2015/10/17,2015/10/17,8,WA,Washington,Clark,,,,,,,,,,,62.1,73.9,46.9,54.4,1011.3,1010.7,2.3,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.24109589,26372.72603,59798.60274,4.91424188,0.302247421,698.8123353,75.88685012750726,0.599999999999909,3.7
1054,267640,Norovirus,2016/2/18,2016/2/18,24,WI,Wisconsin,Dane,Dodge,,,,,,,,,,22.7,36.55,10.0,15.15,1025.3,991.6,9.45,22.45,0.0,1.55,0.0,0.0,0.0,0.0,0.0,0.0,38.49178082,22028.58219,59454.76712,5.744297464,0.976745156,266.6869332,72.30419833624518,33.69999999999993,13.0
1055,267656,Norovirus,2016/2/4,2016/2/28,46,SC,South Carolina,Beaufort,,,,,,,,,,,50.904,61.336,42.452,39.952,1019.536,1017.337333,7.125333333,13.66533333,0.122533333,0.0,0.013333333,0.4,0.0,0.0,0.04,0.0,43.61643836,18873.10137,59108.68219,9.023443631,0.346963973,304.1831073,65.99223653602347,2.1986670000000004,6.539999996999999
1056,267665,Norovirus,2015/10/17,2015/10/17,7,CO,Colorado,Alamosa,,,,,,,,,,,47.5,68.0,28.0,31.1,1024.3,778.4,3.8,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.65616438,2082.671233,31604.45205,8.237625099,3.118500297,22.33956846,52.72036809171473,245.89999999999998,10.2
1057,267666,Norovirus,2016/2/26,2016/2/27,11,MN,Minnesota,Hennepin,,,,,,,,,,,37.06666667,50.85,27.25,23.93333333,1015.683333,982.6666667,8.183333333,12.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.28342466,83701.36301,67835.78493,5.544193743,0.186304395,2187.120692,58.62712118987764,33.0166663,4.316666667
1058,267718,Norovirus,2016/2/20,2016/2/23,18,MN,Minnesota,Hennepin,,,,,,,,,,,34.25833333,40.25,28.80833333,26.59166667,1017.95,985.1666667,6.083333333,11.9,0.079166667,0.1,0.0,0.25,0.416666667,0.0,0.0,0.0,36.28479452,83721.18493,67865.30548,5.542721086,0.186325067,2187.404988,73.21492199535959,32.783333300000095,5.816666667000001
1059,267749,Norovirus,2015/10/31,2015/10/31,14,CA,California,Los Angeles,,,,,,,,,,,71.97647059,85.77647059,56.92941176,33.64375,1015.561538,979.1133333,3.770588235,9.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.35013699,284803.4548,55924.48219,5.583373442,0.36190432,2460.627177,24.423561514983927,36.44820470000002,6.129411765
1060,267765,Norovirus,2015/12/1,2015/12/2,5,CA,California,Orange,,,,,,,,,,,56.21666667,75.36666667,40.61666667,33.13333333,1019.4,1017.083333,2.1,6.533333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.73232877,134092.0863,76039.3,5.615344189,0.308077342,3906.97153,41.499533988312045,2.3166669999999385,4.433333333
1061,267767,Norovirus,2015/2/24,2015/3/1,21,CA,California,Los Angeles,,,,,,,,,,,55.99217729,65.7183415,46.74481209,41.58323529,1014.77381,977.8226461,5.968668301,12.1880787,0.014052288,0.0,0.058415033,0.182734205,0.010416667,0.0,0.0,0.0,35.55273973,288680.5959,56144.64384,5.620854082,0.35210947,2471.30932,58.353450281198185,36.95116389999998,6.219410399
1062,267782,Norovirus,2016/3/1,2016/3/2,11,MI,Michigan,Livingston,,,,,,,,,,,22.65,29.0,17.85,15.6,1021.8666381835938,977.9,8.85,15.05,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,42.5490411,8820.10274,76711.46301,5.146030929,0.177349325,329.3047979,73.89559799010344,43.96663818359377,6.200000000000001
1063,267794,Norovirus,2016/2/27,2016/2/29,52,NC,North Carolina,Mecklenburg,,,,,,,,,,,49.0,65.26666667,32.73333333,27.26666667,1019.666667,991.8333333,6.0,14.03333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.76273973,76882.73151,59040.16986,6.278714152,0.099974403,1930.117792,42.606967539122664,27.833333699999912,8.03333333
1064,267815,Norovirus,2016/2/9,2016/2/15,11,FL,Florida,St. Johns,,,,,,,,,,,53.0,67.97142857,39.85714286,38.54285714,1021.542857,1021.257143,8.157142857,15.82857143,0.012857143,0.0,0.0,0.142857143,0.0,0.0,0.0,0.0,42.9939726,21638.72877,69321.29041,6.643988089,0.21285505,362.9898025,57.818337934550215,0.2857139999999845,7.671428573
1065,267816,Norovirus,2016/2/26,2016/2/26,5,FL,Florida,Flagler,,,,,,,,,,,53.15,61.72,44.22,35.0,1022.48,1021.62,7.49,11.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.15917808,6493.471233,48870.80548,7.102023045,0.593711103,211.8932756,49.99577026185478,0.8600000000000136,4.279999999999999
