,Unnamed: 0,Date,Noro,Salm,TEMP,STP,WDSP,DEWP,MXSPD,SLP,PRCP,RH,SLP-STP,MSXPD-WDSP
0,243,2011-09-01,0.0,0.0,84.475,990.8666666666668,5.725,70.83333333333333,11.475,1013.15,0.0125,63.78440762756511,22.283333333333417,5.75
1,244,2011-09-02,0.0,0.0,85.225,990.2333333333332,8.7,69.39999999999999,14.75,1011.75,0.0,59.30832510176474,21.516666666666765,6.050000000000001
2,245,2011-09-03,0.0,0.0,78.375,989.6333333333332,3.95,69.0,17.475,1011.5,0.205,73.03500375873338,21.866666666666674,13.525000000000002
3,246,2011-09-04,0.0,0.0,69.39999999999999,990.1,8.8,60.03333333333333,15.25,1012.5,0.0499999999999999,72.15870204335562,22.399999999999977,6.449999999999999
4,247,2011-09-05,0.0,0.0,60.85,995.3,14.2,48.56666666666666,20.275,1018.35,0.05,63.94371889564957,23.049999999999955,6.074999999999999
5,248,2011-09-06,0.0,0.0,59.925,998.2666666666668,12.6,45.56666666666666,17.725,1021.3,0.0,59.01808069977052,23.03333333333319,5.125000000000002
6,249,2011-09-07,0.0,0.0,62.125,998.4333333333334,11.825,48.03333333333333,18.975,1021.4,0.0,59.91851730324791,22.966666666666697,7.150000000000002
7,250,2011-09-08,1.0,0.0,65.22500000000001,996.2,14.0,52.4,21.275,1018.9,0.0,63.22305624020126,22.70000000000016,7.274999999999999
8,251,2011-09-09,1.0,0.0,65.85,991.9666666666668,8.825,60.96666666666667,16.75,1014.55,0.1,84.2757329297966,22.583333333333258,7.925000000000001
9,252,2011-09-10,0.0,0.0,66.35,993.2,3.0500000000000003,60.2,8.975,1015.7,0.015,80.60740409057252,22.500000000000117,5.924999999999999
10,253,2011-09-11,0.0,0.0,69.225,993.7000000000002,3.375,59.16666666666666,10.25,1015.9,0.0025,70.38450433465133,22.199999999999815,6.875
11,254,2011-09-12,0.0,0.0,73.625,992.2666666666668,7.55,59.833333333333336,16.0,1014.15,0.0,62.10527463500909,21.88333333333321,8.45
12,255,2011-09-13,0.0,0.0,71.15,988.9,10.475,56.8,15.0,1010.85,0.0,60.55679118127527,21.949999999999815,4.525
13,256,2011-09-14,0.0,0.0,58.375,994.6,4.85,50.13333333333333,11.175,1016.8,0.005,74.0368158355996,22.19999999999993,6.325000000000001
14,257,2011-09-15,0.0,0.0,51.85,1002.4333333333332,10.325,34.73333333333333,15.275,1026.5,0.0,51.88873862331141,24.06666666666672,4.949999999999999
15,258,2011-09-16,0.0,0.0,52.575,1005.1,2.675,40.1,7.699999999999999,1028.3000000000002,0.0,62.40609037238979,23.20000000000016,5.025
16,259,2011-09-17,0.0,0.0,58.925,1002.7666666666668,7.4,44.16666666666666,13.025,1025.85,0.0,57.987837683123,23.083333333333144,5.625
17,260,2011-09-18,0.0,0.0,59.625,999.4,8.45,51.03333333333333,14.475,1022.6,0.02,73.20662365457338,23.200000000000045,6.025
18,261,2011-09-19,0.0,0.0,64.975,991.4333333333334,7.825,60.96666666666667,14.275,1014.0,0.3025,86.87592262855597,22.56666666666661,6.45
19,262,2011-09-20,0.0,0.0,61.35000000000001,994.2333333333332,5.0,53.13333333333333,10.975,1016.65,0.18,74.39686728072844,22.416666666666742,5.975
20,263,2011-09-21,0.0,0.0,65.55,991.1666666666666,9.9,51.833333333333336,17.475,1013.4,0.0025,61.22261195646945,22.233333333333466,7.575000000000001
21,264,2011-09-22,0.0,0.0,58.7,995.3333333333334,6.9750000000000005,47.46666666666667,12.95,1017.95,0.0,66.23931461201104,22.616666666666674,5.974999999999999
22,265,2011-09-23,0.0,0.0,55.25,995.9,5.55,45.5,10.2,1018.8,0.0,69.6389929323881,22.899999999999977,4.65
23,266,2011-09-24,0.0,0.0,55.75,993.2666666666664,4.075,48.23333333333333,8.025,1016.15,0.0433333333333333,75.81020003076824,22.883333333333557,3.95
24,267,2011-09-25,0.0,0.0,57.625,990.5666666666666,5.9,52.3,12.525,1013.25,0.01,82.3982927890139,22.683333333333398,6.625
25,268,2011-09-26,0.0,0.0,57.775000000000006,982.6666666666666,11.25,52.20000000000001,19.525,1005.9,0.5425,81.65451049565574,23.233333333333466,8.274999999999999
26,269,2011-09-27,0.0,0.0,56.5,982.8666666666668,9.1,52.366666666666674,18.25,1005.75,0.1374999999999999,86.0165575208513,22.88333333333333,9.15
27,270,2011-09-28,0.0,0.0,57.25,985.6,6.9,53.8,11.15,1008.55,0.1,88.23913955704543,22.94999999999993,4.25
28,271,2011-09-29,0.0,0.0,57.97500000000001,984.7666666666668,6.9,52.66666666666666,18.25,1007.1,0.06,82.47351224001989,22.333333333333258,11.35
29,272,2011-09-30,0.0,0.0,53.6,990.7333333333332,16.575,42.53333333333334,23.225,1012.3,0.0425,66.03353790303636,21.56666666666672,6.650000000000002
30,273,2011-10-01,0.0,0.0,49.75,1000.8,13.925,39.53333333333333,19.975,1024.05,0.075,67.76632733036855,23.249999999999886,6.050000000000001
31,274,2011-10-02,0.0,0.0,51.25,1001.4333333333334,5.925000000000001,39.7,10.95,1024.7,0.0,64.51698677754449,23.26666666666665,5.024999999999999
32,275,2011-10-03,0.0,0.0,55.025,999.4333333333334,4.074999999999999,43.56666666666666,10.725,1022.5,0.0,65.22483404860631,23.06666666666661,6.65
33,276,2011-10-04,0.0,0.0,55.575,1001.7666666666668,2.175,46.1,7.0,1024.75,0.0,70.40475098266089,22.983333333333235,4.825
34,277,2011-10-05,0.0,0.0,65.725,1000.9,3.2,48.66666666666666,8.5,1023.75,0.0,54.10190176289332,22.850000000000023,5.3
