,Unnamed: 0,Date,Noro,Salm,TEMP,STP,WDSP,DEWP,MXSPD,SLP,PRCP,RH,SLP-STP,MSXPD-WDSP
0,151,2011-06-01,0.0,0.0,73.325,998.8666666666668,11.8,51.63333333333333,21.75,1020.7,0.0,46.607570051316806,21.83333333333337,9.95
1,152,2011-06-02,0.0,0.0,63.475,999.8666666666668,7.725,47.9,13.75,1022.45,0.0,56.85849385014623,22.58333333333337,6.025
2,153,2011-06-03,0.0,0.0,66.725,996.2666666666664,7.15,56.8,17.975,1018.6,0.0633333333333333,70.45217515392254,22.333333333333485,10.825
3,154,2011-06-04,0.0,0.0,79.07499999999999,993.6666666666666,11.0,66.60000000000001,20.975,1015.45,0.17,65.72520559967076,21.783333333333417,9.975
4,155,2011-06-05,0.0,0.0,69.175,996.6,3.475,58.3,10.175,1018.8,0.0025,68.35350697030488,22.19999999999993,6.700000000000001
5,156,2011-06-06,0.0,0.0,74.80000000000001,991.5,8.05,61.333333333333336,17.75,1014.4,0.0,62.975084868978406,22.899999999999977,9.7
6,157,2011-06-07,0.0,0.0,85.65,987.9666666666668,9.975,67.63333333333334,16.475,1009.45,0.0,55.07288700548079,21.48333333333335,6.500000000000002
7,158,2011-06-08,0.0,0.0,86.14999999999999,987.4666666666668,12.15,63.73333333333333,20.3,1008.85,0.0,47.34477994429046,21.38333333333333,8.150000000000002
8,159,2011-06-09,0.0,0.0,64.75,992.3333333333334,11.5,57.3,25.725,1014.65,0.58,76.81782000229917,22.31666666666672,14.225
9,160,2011-06-10,0.0,0.0,56.1,992.1333333333332,8.2,53.06666666666666,15.525,1014.6,0.9033333333333332,89.54144666575957,22.466666666666697,7.325000000000001
10,161,2011-06-11,0.0,0.0,57.22500000000001,990.7666666666668,6.25,55.9,11.675,1013.6,0.0366666666666666,95.3293517212088,22.833333333333144,5.424999999999999
11,162,2011-06-12,0.0,0.0,55.7,995.5666666666668,7.275,49.1,14.475,1019.1,0.0225,78.44929115618208,23.533333333333303,7.199999999999999
12,163,2011-06-13,0.0,0.0,60.05,997.6333333333332,6.449999999999999,44.43333333333334,11.225,1020.45,0.0,56.27843633063565,22.81666666666672,4.775
13,164,2011-06-14,0.0,0.0,62.6,995.0666666666668,5.9,48.133333333333326,14.5,1017.7,0.0,59.14657578902269,22.63333333333333,8.6
14,165,2011-06-15,0.0,0.0,64.725,986.7000000000002,11.175,55.93333333333333,20.25,1009.55,0.1833333333333333,73.18442315170721,22.849999999999795,9.075
15,166,2011-06-16,0.0,0.0,67.65,984.6333333333332,7.475,61.26666666666667,14.0,1007.1,0.2366666666666666,80.04264571482703,22.466666666666697,6.525
16,167,2011-06-17,0.0,0.0,69.475,987.5,4.275,60.86666666666667,10.475,1009.7,0.0075,74.13449987588821,22.200000000000045,6.199999999999999
17,168,2011-06-18,0.0,0.0,67.97500000000001,988.2,5.625,61.63333333333333,11.0,1010.35,0.0,80.18566220841842,22.15000000000009,5.375
18,169,2011-06-19,0.0,0.0,70.475,985.9,4.800000000000001,64.8,10.45,1007.95,0.0,82.2669530106692,22.050000000000068,5.649999999999999
19,170,2011-06-20,0.0,0.0,71.67500000000001,984.7666666666668,6.875,67.03333333333335,18.45,1006.7,0.1999999999999999,85.34405129811337,21.93333333333328,11.575
