,Unnamed: 0,CDCID,GenusName,InitialExposure,LastExposure,TotalCases,Exposurestate,ExposureState,ExposureCounty1,ExposureCounty2,ExposureCounty3,ExposureCounty4,ExposureCounty5,ExposureCounty6,ExposureCounty7,ExposureCounty8,ExposureCounty9,ExposureCounty10,ExposureCounty11,TEMP,SLP,WDSP,PRCP,RH,SLP-STP,MXSPD-WDSP,Median age,Immigrants,Households Median Income,%Food preparation,"%Farming, fishing, and forestry",Population Density
18,223,11810,Norovirus,2012-07-06,2012-07-06,5,GA,Georgia,Muscogee,,,,,,,,,,,83.3,1014.5,4.3,0.0,61.59152758,13.7,5.6,33.50178022899094,24174.9639891225,41285.61823596772,7.385844445444039,0.1837811960400158,876.9731904162929
19,225,11894,Norovirus,2012-07-24,2012-07-30,260,MI,Michigan,Ottawa,,,,,,,,,,,73.0,1013.842857,8.057142857,0.0,61.716941833496094,10.06191635131836,6.971428573,34.50569011739385,17448.821826774085,55713.104316455145,5.513150034648681,1.5920034192114794,468.5794990738618
20,226,11899,Norovirus,2012-07-11,2012-07-11,9,MN,Minnesota,Olmsted,,,,,,,,,,,74.3,1020.6,2.65,0.0,43.09764377,47.0,4.35,36.26050274667163,8218.709881027398,66643.64236081194,4.479910545466702,0.4922843630657956,220.0435263889868
21,227,11916,Norovirus,2012-06-03,2012-06-03,9,PA,Pennsylvania,Philadelphia,,,,,,,,,,,64.7,1008.1,6.6,0.38,55.30006354,4.2,8.4,33.47789042566264,66766.06912522171,37003.325417540014,6.245570005445161,0.0801218375587469,11328.892374463996
22,231,11980,Norovirus,2012-08-02,2012-08-14,22,OH,Ohio,Franklin,,,,,,,,,,,75.10576923,1013.596154,5.344230769,0.072564103,61.3252499,29.7307694,7.013461541,33.46091992686231,70817.81712691697,50530.8219471256,5.818019107186197,0.1399539222379416,2183.28354528948
23,232,12010,Norovirus,2012-08-12,2012-08-14,10,MN,Minnesota,Hennepin,,,,,,,,,,,67.46666667,1015.211111,3.411111111,0.005555556,64.78389888,31.7222221,5.366666667,35.89066182923427,75370.58193632045,63340.42947665297,5.344269784454106,0.1853353522606174,2083.427223588004
24,233,12036,Norovirus,2012-07-20,2012-07-20,8,WA,Washington,Snohomish,,,,,,,,,,,64.7,1015.8,5.6,0.02,79.19502415,13.0,10.45,37.085690749378,44988.09898556495,68207.87071817982,5.168676381432238,0.4356397819844911,340.1584992507468
25,234,12072,Norovirus,2012-08-24,2012-08-26,8,MN,Minnesota,Hennepin,,,,,,,,,,,74.42222222,1011.722222,6.255555556,0.042222222,69.52537046,31.3888887,5.422222224,35.8908263674754,75371.4978145552,63357.30033911664,5.346474420590731,0.1858177798267516,2084.142235377162
26,235,12103,Norovirus,2012-06-16,2012-06-19,7,OR,Oregon,Washington,,,,,,,,,,,62.475,1017.375,5.0,0.0,65.8564046,8.225,6.025,35.2469749908184,40078.44583821045,64213.13188779478,5.376757278918875,0.9973724250544562,728.6908092151313
27,236,12108,Norovirus,2012-07-14,2012-07-17,27,OR,Oregon,Linn,,,,,,,,,,,66.045,1012.0025,6.0525,0.0025,60.99363976,27.4825,8.6525,38.95188716489191,6130.839600193316,47022.009190643774,5.31203094890288,2.500069872084476,50.83151310715289
