,Unnamed: 0.1,Unnamed: 0,CDCID,GenusName,InitialExposure,LastExposure,TotalCases,Exposurestate,ExposureState,ExposureCounty1,ExposureCounty2,ExposureCounty3,ExposureCounty4,ExposureCounty5,ExposureCounty6,ExposureCounty7,ExposureCounty8,ExposureCounty9,ExposureCounty10,ExposureCounty11,ExposureCounty12,ExposureCounty13,ExposureCounty14,ExposureCounty15,ExposureCounty16,ExposureCounty17,ExposureCounty18,ExposureCounty19,TEMP,SLP,WDSP,PRCP,RH,SLP-STP,MXSPD-WDSP,Median age,Immigrants,Households Median Income,%Food preparation,"%Farming, fishing, and forestry",Population Density
18,195,237,17916,Salmonella,2014-02-04,2014-02-15,10,CT,Connecticut,Fairfield,,,,,,,,,,,,,,,,,,,24.8,1019.05,5.858333333,0.1825,62.71761837,9.325,6.266666667,39.69922060338531,39182.36551711877,82326.33342654268,4.24305964133178,0.1227464461047362,1483.6114141151104
19,198,240,18251,Salmonella,2014-02-12,2014-02-15,6,NJ,New Jersey,Hudson,,,,,,,,,,,,,,,,,,,29.55,1011.09,0.6975,0.045,30.07860582,6.24,13.0525,34.41644504357764,37045.510010933765,58450.971945977326,5.007723101290987,0.0934154550406153,13980.995898097482
20,207,250,18495,Salmonella,2014-02-10,2014-02-10,21,TX,Texas,Dallas,,,,,,,,,,,,,,,,,,,35.51666667,1022.166667,10.15,0.014,90.74003429,20.3,3.53333333,32.72309912792726,126749.53301430904,49532.39292423489,6.020267503674876,0.1727861169072443,2773.405483710328
21,209,252,18957,Salmonella,2014-01-31,2014-02-23,9,AZ,Arizona,Maricopa,,,,,,,,,,,,,,,,,,,60.59097222,1014.052083,4.072083333,0.0,30.4606701,43.6321177,4.850416667,35.04157660947308,194616.18334532925,53560.74069818867,5.856861123753769,0.2622082646889143,423.3926392759384
22,210,254,19040,Salmonella,2014-02-28,2014-03-07,8,SC,South Carolina,Spartanburg,,,,,,,,,,,,,,,,,,,43.1,1019.475,6.71875,0.066875,55.87983164,35.3625,6.93125,38.213837269734974,15058.65617653999,42967.94030526628,5.87966162613613,0.3137765504735511,355.3790224024815
23,250,303,21511,Salmonella,2014-12-08,2014-12-08,56,GA,Georgia,Fulton,,,,,,,,,,,,,,,,,,,45.2,1025.9,8.0,0.0,46.26477566,30.7,6.0,34.5820718500524,89107.65340316415,56633.13444833495,5.843671841589842,0.1726663527739257,1834.1662928458
24,257,310,230721,Salmonella,2015-02-14,2015-03-03,39,MT,Montana,Yellowstone,,,,,,,,,,,,,,,,,,,27.25555556,1023.705556,9.6,0.013888889,57.71429708,128.5222227,8.53333333,38.0736313563792,10208.314699093671,51834.860856684834,6.760828393550804,0.5437693423542492,57.80505908119491
25,261,314,262167,Salmonella,2015-01-22,2015-01-23,5,MI,Michigan,Kent,,,,,,,,,,,,,,,,,,,28.0,1025.45,7.7,0.03,76.8724438,30.4,4.7,34.70430624604576,32693.760983854107,52749.5352394327,5.9954154593984645,0.6441385984729562,727.081675326949
26,265,318,262274,Salmonella,2015-01-25,2015-02-01,6,TX,Texas,Ellis,,,,,,,,,,,,,,,,,,,54.9625,1016.9900512695312,7.0875,0.05,55.73474542,17.58180046081543,7.025,35.514181365381226,9192.523482292903,61916.68767802751,4.492161401938498,0.6307744220607356,165.30531323867032
27,269,324,262514,Salmonella,2015-02-28,2015-03-07,8,IL,Illinois,Cook,,,,,,,,,,,,,,,,,,,21.21666667,1027.76875,9.8875,0.003541667,62.12676844,24.785417,7.36666667,35.73478172552851,177029.48045980252,54870.19490200473,5.639907760777694,0.0881778211526708,5532.895586458022
28,274,331,262914,Salmonella,2015-01-17,2015-01-19,36,OK,Oklahoma,Garfield,,,,,,,,,,,,,,,,,,,47.21666667,1016.533333,9.066666667,0.0,42.77914034,44.983333,9.433333333,36.48003360785321,4951.793444274445,46824.20894532555,5.915970923612271,0.6426754382912261,58.2862388484424
29,278,336,263426,Salmonella,2012-02-13,2012-05-04,17,CA,California,Orange,,,,,,,,,,,,,,,,,,,59.30203252,1016.306098,4.040447154,0.035609756,61.44679911,2.281505,6.657926826,36.05121896511493,134112.9925588311,75792.49311061509,5.107531576552887,0.3420431147679156,3791.173556926812
30,283,341,263327,Salmonella,2014-12-24,2015-01-06,58,MA,Massachusetts,Bristol,,,,,,,,,,,,,,,,,,,37.33571429,1018.561905,5.958928571,0.065714286,61.62923356,2.072619,8.736309529,40.3997274761859,20603.140946497388,55955.86798745975,5.605277851752263,0.3958244686149424,996.3172933214224
