,Unnamed: 0,CDCID,GenusName,InitialExposure,LastExposure,TotalCases,Exposurestate,ExposureState,ExposureCounty1,ExposureCounty2,ExposureCounty3,ExposureCounty4,ExposureCounty5,ExposureCounty6,ExposureCounty7,ExposureCounty8,ExposureCounty9,ExposureCounty10,ExposureCounty11,TEMP,SLP,WDSP,PRCP,RH,SLP-STP,MXSPD-WDSP,Median age,Immigrants,Households Median Income,%Food preparation,"%Farming, fishing, and forestry",Population Density
0,56,8464,Norovirus,2011-09-01,2011-09-05,49,ID,Idaho,Butte,,,,,,,,,,,61.48,1019.5746459960938,5.432932376861572,0.0,72.23393249511719,68.25715637207031,6.681475639343262,41.99537285496276,162.65905798100374,37565.506416077085,6.879423247944244,3.178043035858492,1.2765412649310426
1,57,8706,Norovirus,2011-10-04,2011-10-05,6,TN,Tennessee,Davidson,,,,,,,,,,,61.3,1024.1,1.55,0.0,57.90103618,21.95,4.5,33.92342342550644,47360.347465996296,46692.60798132337,5.791354464987604,0.083362763662452,1227.1451386490462
2,65,8473,Norovirus,2011-09-05,2011-09-05,15,IL,Illinois,Montgomery,,,,,,,,,,,62.8,1016.271240234375,11.6,0.0,56.92278158,39.62520599365234,7.4,41.21356252490293,2661.0581605298426,41585.18549802619,5.406248914264726,1.315545275421163,42.87338866882013
3,66,8489,Norovirus,2011-09-01,2011-09-01,29,MN,Minnesota,Anoka,,,,,,,,,,,78.9,1015.6126708984376,6.5,0.0,80.56982513,9.751388549804688,7.5,36.57889604411928,20438.51902882241,68969.43211990334,3.896965691155317,0.1653533814152615,777.3500848207701
4,67,8496,Norovirus,2011-09-08,2011-09-09,35,IL,Illinois,Cook,,,,,,,,,,,65.5375,1016.725,11.4125,0.05,73.10063562,22.6416667,7.6,35.176538463223324,172746.34123163053,54475.22033455736,5.450975999694477,0.1023410259491556,5478.563216426726
5,70,8525,Norovirus,2011-09-13,2011-09-14,50,IL,Illinois,Lake,,,,,,,,,,,63.125,1014.25,7.575,0.0,62.48808442,26.5,5.4,36.314278767914246,38369.43231518529,79544.24218068577,4.241908202841513,0.1742834243321555,1577.3684485942167
6,71,8528,Norovirus,2011-09-03,2011-09-03,115,OH,Ohio,Belmont,,,,,,,,,,,81.74,1013.76,2.14,0.0,39.96252498,38.89,2.96,43.21508939380757,3137.959097311432,38958.77243155411,6.751523608705283,0.2996337782427435,132.26216529036932
7,72,8535,Norovirus,2011-09-16,2011-09-18,37,IL,Illinois,St. Clair,,,,,,,,,,,60.5,1022.333333,2.95,0.123333333,67.91681115,15.966666,4.866666667,36.84275401938587,14480.051907142495,49820.5631784882,6.19501617311253,0.3595985987570871,407.0512175401928
8,74,8543,Norovirus,2011-09-10,2011-09-10,35,MN,Minnesota,Dakota,,,,,,,,,,,71.1,1013.97412109375,1.05,0.0,65.40876587,40.20541763305664,4.95,36.28641255380391,24667.05231540436,73714.52023284862,4.290903397668295,0.293160328445539,703.7211264118396
9,75,8571,Norovirus,2011-09-18,2011-09-19,9,MN,Minnesota,Chisago,,,,,,,,,,,55.8,1018.879150390625,3.9,0.03,79.0450688,55.440731048583984,6.55,37.75356972536421,4369.768294384831,66865.9623721677,4.382474362274711,0.5618953029895296,128.33349666497244
10,76,8607,Norovirus,2011-09-06,2011-09-08,9,PA,Pennsylvania,Allegheny,,,,,,,,,,,63.11666667,1014.533333,5.066666667,0.346666667,83.05370416,44.7999997,6.266666663,41.17776349351305,51121.194565671794,49368.52777395787,6.255128753691573,0.0722798484095513,1675.5969606080514
11,77,8972,Norovirus,2011-11-24,2011-11-24,14,IL,Illinois,DuPage,,,,,,,,,,,41.7,1022.25,10.35,0.0,85.06977815,26.35,6.15,37.75309707564978,55411.153557179015,77469.16982386034,4.160244588789556,0.0997091633557946,2790.347782573741
12,78,8755,Norovirus,2011-10-14,2011-10-14,11,ID,Idaho,Ada,,,,,,,,,,,59.2,1014.7,2.0,0.0,49.86452985,99.7,3.1,34.65414893700118,27754.494370819542,55284.62939093995,5.577337862672724,0.5155606014139694,367.3405187906207
13,79,8759,Norovirus,2011-10-14,2011-10-14,32,KS,Kansas,Johnson,,,,,,,,,,,58.4,1012.85,6.65,0.0,39.71980868,38.4,7.3,36.27026691485161,35981.91810499249,74572.08615932407,4.4986513280300064,0.1384644307267367,1134.913037661035
14,80,8803,Norovirus,2011-10-15,2011-10-15,12,WI,Wisconsin,Dane,,,,,,,,,,,52.4,1007.0,9.9,0.0,52.21548265,31.3,6.0,34.28699025005745,34637.72350451573,61801.83775551091,5.228838169387927,0.4202441840503093,403.0769661002304
15,81,8828,Norovirus,2011-10-27,2011-10-27,60,OK,Oklahoma,Osage,,,,,,,,,,,54.0,1018.6,7.7,0.0,54.14006605,25.6,3.4,40.64155741997296,4028.5209256944313,42867.96615905764,5.051108472415911,0.7223004871942829,21.061470729460968
16,84,8883,Norovirus,2011-10-20,2011-10-20,28,OR,Oregon,Klamath,,,,,,,,,,,46.7,1018.5,1.8,0.0,62.79222174,140.8,9.3,41.60575542062331,4598.178973792477,41822.415703641,6.988504964432435,3.8891370503725526,11.200117315939824
17,85,8911,Norovirus,2011-09-11,2011-09-11,6,WA,Washington,Thurston,,,,,,,,,,,67.7,1011.4,2.7,0.0,60.42835971,7.2,4.3,38.395486700399154,20485.822192531155,62698.626935343134,4.738008535555013,0.6698977223743691,342.08365224860785
