,Unnamed: 0.1,Unnamed: 0,CDCID,GenusName,InitialExposure,LastExposure,TotalCases,Exposurestate,ExposureState,ExposureCounty1,ExposureCounty2,ExposureCounty3,ExposureCounty4,ExposureCounty5,ExposureCounty6,ExposureCounty7,ExposureCounty8,ExposureCounty9,ExposureCounty10,ExposureCounty11,ExposureCounty12,ExposureCounty13,ExposureCounty14,ExposureCounty15,ExposureCounty16,ExposureCounty17,ExposureCounty18,ExposureCounty19,TEMP,SLP,WDSP,PRCP,RH,SLP-STP,MXSPD-WDSP,Median age,Immigrants,Households Median Income,%Food preparation,"%Farming, fishing, and forestry",Population Density
0,10,13,7954,Salmonella,2011-06-04,2011-06-09,20,MO,Missouri,Ray,,,,,,,,,,,,,,,,,,,82.645,1011.798333,7.606666667,0.0,58.95497126,30.2516663,6.121666663,39.653987034219234,1095.087676131095,54854.8979606124,3.1758438951809604,0.3708914169749452,41.508374451353575
1,11,14,8073,Salmonella,2011-06-11,2011-06-12,20,CT,Connecticut,New Haven,,,,,,,,,,,,,,,,,,,60.55,1014.85,6.5375,0.457083333,83.02948192,9.6,4.9125,38.89843121288519,35277.676625496606,62072.58868028593,4.78132659435907,0.1737322110031176,1418.564033609201
2,12,15,8234,Salmonella,2011-06-21,2011-07-15,6,NY,New York,Dutchess,Onondaga,Rockland,,,,,,,,,,,,,,,,,71.81792,1011.7533,3.3106,0.11744,70.35532264,10.079567,6.313866667,38.251658493748565,16310.55810685399,68687.37158227563,4.988422300712817,0.2519181088129363,912.7677345442008
3,16,19,8016,Salmonella,2011-06-05,2011-06-05,14,OH,Ohio,Ottawa,,,,,,,,,,,,,,,,,,,70.85,1017.7,4.9,0.0,69.12242889404297,21.5,4.15,45.51255836058454,2180.19934142708,53389.73948599616,6.049864743030271,1.105595702499242,162.93621769282123
4,17,20,8040,Salmonella,2011-06-11,2011-06-11,14,GA,Georgia,DeKalb,,,,,,,,,,,,,,,,,,,79.7,1012.8,3.0,0.0,56.01560165,33.7,10.0,33.998808651706334,70254.25942958647,51679.54837922771,5.319675923549447,0.0498084414101257,2569.3692776821267
5,18,21,8111,Salmonella,2011-06-13,2011-06-13,7,OR,Oregon,Clackamas,,,,,,,,,,,,,,,,,,,58.65,1015.52,6.32,0.09,78.32184805,20.12,6.35,40.06871894713734,25219.96234796319,63169.7965149235,4.286757333593271,0.8341780530571025,198.8741993891645
6,19,22,8203,Salmonella,2011-06-30,2011-07-01,30,MD,Maryland,Wicomico,,,,,,,,,,,,,,,,,,,75.4,1015.75,3.6,0.005,51.75148832,2.3,9.45,35.709717959498384,7693.711306498867,51792.085931016925,6.819297428577211,0.7163403435384358,259.96235559004367
7,20,23,8221,Salmonella,2011-06-18,2011-10-10,5,OH,Ohio,Darke,Fayette,Greene,Mercer,,,,,,,,,,,,,,,,70.06152899,1015.058957,4.870891304,0.122057971,71.06236719,32.7094353,6.809268116,38.78359457401212,4967.162125971084,48051.54726759002,5.905486206602727,1.3785653792352517,159.07117636962369
8,21,24,8448,Salmonella,2011-07-19,2011-07-22,9,AL,Alabama,Cullman,,,,,,,,,,,,,,,,,,,79.8,1014.7440795898438,2.3625,0.07625,87.72941789,48.93111801147461,5.025,39.77489414996147,4443.664360894991,38439.55591921092,4.702114408902096,1.410742006277102,109.04689300399514
9,22,25,8449,Salmonella,2011-06-29,2011-07-22,6,MA,Massachusetts,Bristol,Middlesex,Suffolk,,,,,,,,,,,,,,,,,75.65684524,1011.750794,5.859791667,0.063462302,65.08479389,2.727877,5.955833333,36.471875620996606,64515.28914581397,61708.77286658534,5.834848585784574,0.1809327639364989,4995.482217361965
10,23,26,8454,Salmonella,2011-06-04,2011-06-04,25,PA,Pennsylvania,Allegheny,,,,,,,,,,,,,,,,,,,68.8,1020.15,4.2,0.0,49.73533483,44.8,8.8,41.15262518442607,51328.03953538472,48916.21288546304,6.242511021536474,0.0707948481081542,1675.4297079936262
11,24,27,8709,Salmonella,2011-07-17,2011-07-18,8,MA,Massachusetts,Suffolk,,,,,,,,,,,,,,,,,,,81.2,1014.8,11.0,0.0,53.25105019,0.9,5.05,31.62351423935268,74395.68826914663,51143.485804263226,7.733560534781926,0.1280263748750559,12184.956177780874
12,26,29,8255,Salmonella,2011-06-26,2011-07-01,8,MN,Minnesota,Winona,,,,,,,,,,,,,,,,,,,73.26666667,1016.1626586914062,4.816666667,0.0,62.78188124,38.42070007324219,7.550000003,32.438689354790895,4270.241648134465,44083.71171698758,7.627012629093328,1.2702886426274829,81.95573551568843
13,27,30,8287,Salmonella,2011-07-17,2011-07-21,21,NY,New York,Livingston,,,,,,,,,,,,,,,,,,,81.0,1013.58,5.56,0.002,58.76020675,24.3,5.86,39.21067491719391,5295.119475984105,52491.48755767386,5.465057262012755,1.8554713049999096,103.58791658265048
14,28,31,8340,Salmonella,2011-07-10,2011-07-15,42,CT,Connecticut,Hartford,,,,,,,,,,,,,,,,,,,76.49166667,1011.7,5.475,0.009166667,55.73188317,3.558333,6.16666667,39.70286116611048,37695.42030387966,63418.35730022906,5.207949976442028,0.1466294145160896,1209.7044636592857
15,29,32,8341,Salmonella,2011-06-24,2011-07-09,7,CT,Connecticut,New Haven,,,,,,,,,,,,,,,,,,,71.5140625,1012.279167,4.128125,0.085260417,71.23051134,9.645834,5.7546875,38.91418726282281,35234.609468571405,62147.33812685798,4.787021681818105,0.178695608649367,1418.7535427103062
16,30,33,8348,Salmonella,2011-07-09,2011-07-15,10,NY,New York,Erie,,,,,,,,,,,,,,,,,,,73.35714286,1013.714286,6.985714286,0.0,59.41847366,25.2428574,6.000000004,40.12433861502432,31085.06075905693,48138.02820336177,6.164043939687547,0.109507812034472,882.4168026121303
17,33,36,8416,Salmonella,2011-07-26,2011-08-27,31,MN,Minnesota,Wright,,,,,,,,,,,,,,,,,,,71.71060606,1014.525634765625,3.192424242,0.088,75.34810617,20.89962387084961,7.968181818,34.29413670686969,7226.544057253724,69014.19815059952,4.641639699254285,0.3438306676969389,184.77395621903835
18,37,41,8548,Salmonella,2011-06-29,2011-06-30,9,VA,Virginia,Chesterfield,,,,,,,,,,,,,,,,,,,78.25,1016.3915405273438,4.1,0.17,56.2095168,30.73645782470703,4.35,37.06703634185826,20893.25401942045,72523.34062108693,4.125244944008918,0.1098664193716838,734.3417306781914
