,CDCID,GenusName,InitialExposure,LastExposure,TotalCases,Exposurestate,ExposureState,ExposureCounty1,ExposureCounty2,ExposureCounty3,ExposureCounty4,ExposureCounty5,ExposureCounty6,ExposureCounty7,ExposureCounty8,ExposureCounty9,ExposureCounty10,ExposureCounty11,ExposureCounty12,ExposureCounty13,ExposureCounty14,ExposureCounty15,ExposureCounty16,ExposureCounty17,ExposureCounty18,ExposureCounty19,TEMP,SLP,WDSP,PRCP,RH,SLP-STP,MXSPD-WDSP,Median age,Immigrants,Households Median Income,%Food preparation,"%Farming, fishing, and forestry",Population Density
19,8016,Salmonella,2011-06-05,2011-06-05,14,OH,Ohio,Ottawa,,,,,,,,,,,,,,,,,,,70.85,1017.7,4.9,0.0,,21.5,4.15,45.51255836058454,2180.19934142708,53389.739485996164,6.049864743030271,1.105595702499242,162.93621769282123
20,8040,Salmonella,2011-06-11,2011-06-11,14,GA,Georgia,DeKalb,,,,,,,,,,,,,,,,,,,79.7,1012.8,3.0,0.0,56.01560165,33.7,10.0,33.998808651706334,70254.25942958647,51679.54837922771,5.319675923549447,0.049808441410125796,2569.3692776821267
21,8111,Salmonella,2011-06-13,2011-06-13,7,OR,Oregon,Clackamas,,,,,,,,,,,,,,,,,,,58.65,1015.52,6.32,0.09,78.32184805,20.12,6.35,40.06871894713734,25219.96234796319,63169.7965149235,4.286757333593271,0.8341780530571025,198.8741993891645
22,8203,Salmonella,2011-06-30,2011-07-01,30,MD,Maryland,Wicomico,,,,,,,,,,,,,,,,,,,75.4,1015.75,3.6,0.005,51.75148832,2.3,9.45,35.709717959498384,7693.711306498867,51792.085931016925,6.819297428577211,0.7163403435384358,259.96235559004367
23,8221,Salmonella,2011-06-18,2011-10-10,5,OH,Ohio,Darke,Fayette,Greene,Mercer,,,,,,,,,,,,,,,,70.06152899,1015.058957,4.870891304,0.122057971,71.06236719,32.7094353,6.809268116,38.78359457401212,4967.162125971084,48051.54726759002,5.905486206602727,1.3785653792352517,159.07117636962369
24,8448,Salmonella,2011-07-19,2011-07-22,9,AL,Alabama,Cullman,,,,,,,,,,,,,,,,,,,79.8,,2.3625,0.07625,87.72941789,,5.025,39.77489414996147,4443.664360894991,38439.55591921092,4.702114408902096,1.4107420062771021,109.04689300399514
25,8449,Salmonella,2011-06-29,2011-07-22,6,MA,Massachusetts,Bristol,Middlesex,Suffolk,,,,,,,,,,,,,,,,,75.65684524,1011.750794,5.859791667,0.063462302,65.08479389,2.727877,5.955833333,36.471875620996606,64515.28914581397,61708.77286658534,5.834848585784574,0.18093276393649896,4995.482217361965
26,8454,Salmonella,2011-06-04,2011-06-04,25,PA,Pennsylvania,Allegheny,,,,,,,,,,,,,,,,,,,68.8,1020.15,4.2,0.0,49.73533483,44.8,8.8,41.15262518442607,51328.03953538472,48916.212885463035,6.242511021536474,0.07079484810815422,1675.4297079936262
27,8709,Salmonella,2011-07-17,2011-07-18,8,MA,Massachusetts,Suffolk,,,,,,,,,,,,,,,,,,,81.2,1014.8,11.0,0.0,53.25105019,0.9,5.05,31.62351423935268,74395.68826914663,51143.485804263226,7.733560534781926,0.12802637487505591,12184.956177780874
28,8252,Salmonella,2011-05-03,2011-08-22,15,MN,Minnesota,Hennepin,Martin,Olmsted,Ramsey,Washington,,,,,,,,,,,,,,,68.99919218,1011.941607,6.90894983,0.149471088,65.70575345,34.602857,7.34277211,37.88226059029026,28116.128590726606,60652.71539932549,4.642774271515157,0.7703010697154927,1246.5913740891117
29,8255,Salmonella,2011-06-26,2011-07-01,8,MN,Minnesota,Winona,,,,,,,,,,,,,,,,,,,73.26666667,,4.816666667,0.0,62.78188124,,7.550000003,32.438689354790895,4270.241648134465,44083.71171698758,7.627012629093328,1.2702886426274829,81.95573551568843
30,8287,Salmonella,2011-07-17,2011-07-21,21,NY,New York,Livingston,,,,,,,,,,,,,,,,,,,81.0,1013.58,5.56,0.002,58.76020675,24.3,5.86,39.21067491719391,5295.119475984105,52491.48755767386,5.465057262012755,1.8554713049999099,103.58791658265048
31,8340,Salmonella,2011-07-10,2011-07-15,42,CT,Connecticut,Hartford,,,,,,,,,,,,,,,,,,,76.49166667,1011.7,5.475,0.009166667,55.73188317,3.558333,6.16666667,39.70286116611048,37695.42030387966,63418.35730022906,5.207949976442028,0.14662941451608966,1209.7044636592857
32,8341,Salmonella,2011-06-24,2011-07-09,7,CT,Connecticut,New Haven,,,,,,,,,,,,,,,,,,,71.5140625,1012.279167,4.128125,0.085260417,71.23051134,9.645834,5.7546875,38.91418726282281,35234.609468571405,62147.33812685798,4.787021681818105,0.178695608649367,1418.7535427103062
