,Unnamed: 0,CDCID,GenusName,InitialExposure,LastExposure,TotalCases,Exposurestate,ExposureState,ExposureCounty1,ExposureCounty2,ExposureCounty3,ExposureCounty4,ExposureCounty5,ExposureCounty6,ExposureCounty7,ExposureCounty8,ExposureCounty9,ExposureCounty10,ExposureCounty11,TEMP,SLP,WDSP,PRCP,RH,SLP-STP,MXSPD-WDSP,Median age,Immigrants,Households Median Income,%Food preparation,"%Farming, fishing, and forestry",Population Density
189,490,18000,Norovirus,2013-12-22,2013-12-22,8,WA,Washington,King,,,,,,,,,,,47.05,1023.125,4.575,0.195,93.24156748,6.458333,3.2,37.0988178619531,125749.83603908746,71789.73745891718,5.472996725837003,0.2767012980164662,932.956028903226
190,491,18002,Norovirus,2013-12-18,2013-12-18,5,CA,California,San Diego,,,,,,,,,,,59.94666667,1015.192308,2.986666667,0.0,52.93866631,18.542308,6.6,34.79684821499449,153940.908481323,62946.03037556428,5.877530844830926,0.6115379074354331,745.6800217780038
191,493,18028,Norovirus,2014-01-18,2014-01-18,14,CA,California,San Diego,,,,,,,,,,,59.2,1017.484615,2.806666667,0.0,22.93227666,18.5512817,6.32,34.80428006298636,153863.74106511645,62989.99375315534,5.890919771719196,0.6149529267643578,746.5173742006044
192,517,18390,Norovirus,2013-12-13,2013-12-13,55,OK,Oklahoma,Caddo,Canadian,Cleveland,Comanche,Grady,Oklahoma,,,,,,39.904,1017.45,12.535,0.011666667,77.5104274,45.2488889,7.744,35.01652638127418,18626.14111620883,49768.36886355107,5.509071272683657,0.7181504489906416,306.16571752869095
193,520,18509,Norovirus,2014-01-30,2014-01-31,19,MD,Maryland,Anne Arundel,,,,,,,,,,,22.83333333,1025.66,2.225,0.001666667,54.54414509,3.06,5.655,38.50465519282619,35496.479810263205,87529.78586986077,4.370367827618959,0.1221135010202742,1313.3856288346706
194,521,18521,Norovirus,2014-01-31,2014-01-31,22,SC,South Carolina,Lexington,,,,,,,,,,,34.85,1022.9,1.3,0.0,45.6036305,8.1,3.75,37.921737923533925,17754.214708006908,54089.30025817826,5.291503257667841,0.6417237460728115,381.88517119659855
195,522,18434,Norovirus,2013-01-22,2013-01-25,15,WI,Wisconsin,Fond du Lac,,,,,,,,,,,6.2,1027.325,7.3,0.0,64.56064108,32.05,7.7,40.30958606907639,4845.858524158099,53428.70438566626,5.498468889423428,1.3620421767799311,141.18057057671348
196,551,18924,Norovirus,2014-02-20,2014-02-27,63,OK,Oklahoma,Wagoner,,,,,,,,,,,42.48625,1017.69375,9.33375,0.00625,44.59169173,24.2925,8.04625,38.032060458053095,6382.332218333424,55730.78073370374,4.1051027362237305,0.2523479395098617,132.1286304543283
197,552,18927,Norovirus,2014-02-26,2014-02-26,8,AZ,Arizona,Maricopa,,,,,,,,,,,65.15,1013.65,3.32,0.0,34.40947346,43.7166667,3.85,35.05506429695343,194783.0781932801,53552.28064059887,5.856341983248003,0.2633527433627506,423.62288417695805
198,554,18983,Norovirus,2014-01-10,2014-01-10,8,WI,Wisconsin,Eau Claire,,,,,,,,,,,20.35,1014.23,8.2,0.0,87.52703441,40.57,3.65,33.50738872222418,7708.348790996579,48087.95465355927,6.965307516897278,0.7080659441343254,156.4490956181811
199,555,18984,Norovirus,2014-01-23,2014-01-28,34,WI,Wisconsin,Outagamie,,,,,,,,,,,2.216666667,1010.9119262695312,12.88333333,0.0,61.47798066,27.77604103088379,5.26666667,37.60690246832599,9310.202977178402,58347.25011296145,5.890403832408972,0.4621292106677281,279.3561706276744
